"artistid","artist"
1334,koji-12000
1335,coolio
1336,raphael
1337,faithless
1338,carmen consoli
1339,d-a-d
1340,grungerman feat. andreas dorau + forever sweet
1341,nikka costa & pierre cosso
1342,sporty thievz
1343,ziggy
1344,lil' kim
1345,vasallo crab 75
1346,paul personne
1347,things of stone & wood
1348,princess princess
1349,scudelia electro
1350,syleena johnson
1351,d+shade
1352,a-ha
1353,the red devils
1354,k.p. & envyl
1355,fun lovin´ criminals
1356,axel bauer & zazie
1357,donna mcelroy
1359,patti labelle
1360,lara fabian
1361,elliott murphy
1362,siam shade
1363,jay-z
1364,mario winans
1365,luca
1367,dj xam & boris
1368,youssou n'dour & neneh cherry
1369,aura
1370,mylène farmer
1372,dip
1373,spiral life
1375,brahama
1376,luvandsoul
1377,hot dog
1378,the isley brothers ft. mr. biggs
1379,ramjet pulley
1380,bob sapp
1381,next
1382,salyu
1383,"king, albert"
1384,reinhard mey
1385,archie shepp
1386,clifford brown all stars
1388,the brick lane boogie boys
1389,jerry lee lewis
1391,gomer edwin evans
1392,peetie wheatstraw
1393,bennie moten
1396,andres segovia
1399,frank sikora
1402,mary lou williams
1405,franksinatra
1406,ronny
1407,stare dobre malzenstwo
1408,amrita
1409,d-flame
1410,kelly howell
1411,the ink spots
1412,wiglaf droste und das spardosen-terzett
1416,dionne warwick
1417,sam pilafian & frank vignola
1420,roger sutcliffe
1421,j.m.'s home
1422,the jellyrollers
1424,"cure, the"
1426,roland van campenhout
1428,margarita caliente n°15
1431,denstiny's child+mariah carey+babyface+wham!
1434,arturo sandoval
1436,banda cheiro de amor
1437,rey ruiz
1438,eduardo de crescenzo
1439,petr kalandra
1441,michael sagmeister
1442,south central cartel
1443,johnny shines
1445,rem
1448,joe coocker
1450,smokie
1451,dead or alive
1452,club shinkawa
1453,ali gator
1454,hossy gibs
1455,thornetta davis
1456,keziah jones
1460,cake
1461,the darkness
1462,howard
1464,petter
1465,twin fx
1466,rose
1467,nightcrawlers
1468,wamblee
1469,aselin debison
1470,b`z
1471,buzzcocks
1473,john mccook & bobbie eakes
1475,therapy?
1476,robin zander
1479,plan 9
1482,yukie kobayashi
1483,"carey, mariah"
1484,debbie gibson
1485,vanessa wlliams & brian mcknight
1487,cecilia wennersten
1489,tunnels
1490,beat crusaders
1491,vaughan brothers
1492,fake?
1494,irene cara
1495,the yellow monkey
1496,andy griffith
1497,the troggs
1499,dreams come true
1500,joy-pops
1501,stephen simmonds
1502,john farnham
1503,ralph trevant
1504,the waves
1505,n-trance
1506,tracy chapman
1508,caall
1509,bruce becvar
1510,peter bastian og stig møller
1513,paul fitzgerald & mark flanagan
1514,allman brothers band
1515,birgitte grimstad
1517,johnny cash
1518,chuck berry
1521,eri esittäjiä
1522,al jolson
1525,dusty springfield
1528,arthur crudup
1529,jimmy witherspoon
1531,josephine baker
1533,boleros - volumen 4
1536,astrud gilberto
1537,celia cruz
1538,mauv
1539,dizzy gillespie
