"albumid","album"
1243,paul carrack perfect love cds
1244,aller plus haut
1245,supermodel of the world
1246,bye for now
1247,rickie lee jones
1248,milkshake (single);
1249,themelist
1250,one size fits all
1251,"57kai zen-nippon kanto"
1252,ready go
1253,mr. mojo blues band
1254,cryptic writings extra cd
1255,heaven's place
1256,last christmas
1257,song for you
1258,éå
1259,jesus to a child [mcd]
1260,conviction of the heart
1261,for trio
1262,alpha & omega
1263,seasonable rain
1264,tai chi way - yin music
1265,rojo & roll
1266,laulud
1267,dust my broom
1270,in love with a dream
1271,they sing like angels
1272,oldies
1274,hot club de france
1275,the essential rosa henderson
1276,you rascal you
1278,confession blues
1280,blind descent
1281,the essential bessie smith
1282,siamese twins
1283,ella swings lightly
1284,the mother of the blues
1286,dhan dhan ram das guru
1287,mr. paganini
1289,two green make a blues
1290,stijlloos
1292,the howlin' wolf collection
1293,a genuine tong funeral
1294,natural fake
1296,raymond lefevre deluxe
1297,hello dolly
1298,"18 essential songs"
1299,jessica williams
1300,rossa02
1301,shakin' the devil's hand
1302,romantic ballads
1304,delta bound
1305,the definitive collection :of 2
1307,yachines
1308,the very best
1311,all for you
1314,born to do it
1316,le strade del blues
1317,headin' for ten
1318,different stages
1319,knock on wood
1320,the miseducation of lauryn hill
1321,our songs03
1323,open arms
1324,can you feel the silence
1325,aaliyah - edition 2004
1326,the duke ellington collection
1327,more than that
1328,walkie talkie man (single);
1329,neko
1330,ralph stanley - bonus tracks
1331,bourbon the audition
1332,bad ass strippa
1333,imaginationsingle);
1334,more than you'll ever know (single);
1335,it's all the way live (now);
1336,sweet romance
1337,insomnia
1338,rarities 2004
1339,helpyourselfish
1340,girls in love
1341,don't cry
1342,no pigeonssingle);
1343,one night stand
1344,how many licks
1345,breathe bonus
1346,quelqu'un appelle
1347,share this wine
1348,birthday song (single);
1349,livedrive
1350,guess what (guess again); remix
1351,endless love
1352,stay on these roads
1353,blackwater roll - cds
1354,swing my waysingle);
1355,love unlimitedsigel
1356,a ma place
1357,promotional cd
1358,soak up the sun
1359,when you love somebody(i'm saving my love for you);
1360,tout
1361,elliott murphy
1362,black
1363,hard knock life
1364,i don't wanna know ft p.diddy
1365,glare
1366,come see mesingle);
1367,"ta mère, elle va jumper"
1368,"7 seconds"
1369,just a friend
1370,fuck them all
1371,the memory remains (single);
1372,[il faut continuer.]999.bonus tracks
1373,"(dont' tell me now); please please mr,sky"
1374,obsesion remix
1376,friends
1377,my way
1378,contagious
1379,change the world
1380,sapp time
1381,too close (single);
1382,åæ
1383,stop
1384,lilienthals traum
1385,poem for malcom
1386,best coast jazz
1387,environment 1 - ocean & tambura
1388,hillbilly boogie
1389,the best of jerry lee lewis
1390,bitches brew
1391,music for lovers 2
1394,ramblin' rose
1395,feeling fine affirmations
1396,a portrait
1397,anthologie
1399,die neue jazz-harmonielehre i
1400,"portrait [past perfect 204220, 2002] [april in my heart]"
1401,everybody loves somebody - 20 love songs
1402,i made you love paris
1403,where the blues began
1404,guitar legends
1405,thisloveofmine
1406,"071 meine grössten erfolge"
1407,bieszczadzkie anioly
1408,hands of gold
1409,basstard
1410,deep meditation
1411,java jive - the best of
1412,das konzert
1413,atlanta strut
1417,makin' whoopee
1420,right hand road
1421,jmmidi best hits 2 ver.2003
1422,blues with a filling
1423,hello dolly (master collection);
1424,acoustic hitsof
1426,lime & coconut
1427,the reprise studio ings
1428,margarita caliente n15
1431,love christmas
1432,"18"
1433,frankie & albert
1434,trumpet evolution
1435,da manuela a pensami
1436,banda cheiro de amor ao vivo
1437,"22 ultimate salsa hits 4"
1439,live & studio
1440,best of blue [special limited fans edition]
1441,jazz gitarre
1442,westurrection
1443,live in europe 1975
1444,the chain
1445,in time: the best of rem
1446,tha last meal
1447,the anthology7
1448,the vary best of
1449,my love is your love
1450,the hit box - cd-01
1451,evolution: the hits
1453,ali - ism
1454,hossy gibs
1455,happy holidayssingle);
1456,rhyth is love
1457,fell in love with a girl
1458,je
1460,the distance (single);
1461,love is only a feeling [single]
1462,daddy cool
1463,fool again
1464,fredrik snortare & cecilia synd
1465,bullit of love maxi cd
1467,push the feeling on (single mixes);
1468,watchipo
1469,moonlight shadow
1470,dont leave me
